iyear,longitude,latitude,radius
1970,-63.62,-38.42,2.609437912
1970,-51.93,-14.24,1.693147181
1970,-106.35,56.13,1
1970,-0.19,51.52,1
1970,40.49,9.15,1
1970,21.82,39.07,1.693147181
1970,-90.23,15.78,1.693147181
1970,-8.24,53.41,1
1970,36.24,30.59,1
1970,5.29,52.13,1
1970,69.35,30.38,2.386294361
1970,-58.44,-23.44,1
1970,121.77,12.88,4.713572067
1970,8.23,46.82,4.850147602
1970,-3.44,55.38,3.995732274
1970,-95.71,37.09,4.496507561
1970,-55.77,-32.52,2.098612289
1970,10.45,51.17,3.079441542
1971,-63.62,-38.42,2.609437912
1971,104.55,11.33,1.693147181
1971,30.8,26.82,1
1971,53.69,32.43,2.386294361
1971,-8.24,53.41,1
1971,34.85,31.05,1
1971,18.64,60.13,1
1971,120.96,23.7,4.218875825
1971,35.24,38.96,1
1971,-3.44,55.38,5.700480366
1971,-95.71,37.09,3.995732274
1971,-55.77,-32.52,1
1971,27.85,-13.13,1
1972,-63.62,-38.42,2.609437912
1972,133.78,-25.27,1
1972,14.55,47.52,2.386294361
1972,104.55,11.33,1
1972,-106.35,56.13,1
1972,-74.3,4.57,1
1972,15.47,49.82,4.258096538
1972,2.21,46.23,1
1972,53.69,32.43,1
1972,-8.24,53.41,2.791759469
1972,34.85,31.05,4.258096538
1972,12.57,41.87,1
1972,36.24,30.59,1.693147181
1972,121.77,12.88,1.693147181
1972,-3.75,40.46,1.693147181
1972,35.24,38.96,2.098612289
1972,-3.44,55.38,6.908082938
1972,-95.71,37.09,3.302585093
1972,10.45,51.17,4.135494216
1973,-63.62,-38.42,3.772588722
1973,33.43,35.13,1
1973,2.21,46.23,2.609437912
1973,21.82,39.07,2.609437912
1973,53.69,32.43,1
1973,-8.24,53.41,2.386294361
1973,34.85,31.05,1.693147181
1973,12.57,41.87,5.127134385
1973,35.86,33.85,2.386294361
1973,-102.55,23.63,1
1973,5.29,52.13,1
1973,-3.75,40.46,2.791759469
1973,30.22,12.86,2.098612289
1973,-3.44,55.38,6.347107531
1973,-95.71,37.09,4.80666249
1973,10.45,51.17,1
1973,121.02,14.48,1
1973,27.85,-13.13,1.693147181
1974,-63.62,-38.42,4.044522438
1974,24.68,-22.33,1
1974,10.45,51.17,1
1974,40.49,9.15,2.098612289
1974,2.21,46.23,2.098612289
1974,21.82,39.07,5.521788577
1974,53.69,32.43,1
1974,-8.24,53.41,4.526360525
1974,34.85,31.05,5.356708827
1974,12.57,41.87,4.135494216
1974,-102.55,23.63,1.693147181
1974,5.29,52.13,1
1974,121.77,12.88,2.098612289
1974,-3.75,40.46,3.944438979
1974,39,34.8,1
1974,100.99,15.87,1.693147181
1974,53.85,23.42,1
1974,-3.44,55.38,6.459585514
1974,-95.71,37.09,3.772588722
1974,10.45,51.17,1
1975,-63.62,-38.42,5.812184355
1975,14.55,47.52,2.386294361
1975,-74.3,4.57,2.945910149
1975,-88.9,13.79,1.693147181
1975,2.21,46.23,2.098612289
1975,21.82,39.07,1
1975,-90.23,15.78,4.135494216
1975,78.96,20.59,2.386294361
1975,53.69,32.43,3.079441542
1975,-8.24,53.41,2.945910149
1975,34.85,31.05,4.17805383
1975,37.91,-0.02,4.295836866
1975,35.86,33.85,4.33220451
1975,-102.55,23.63,4.465735903
1975,18.49,-22.96,1
1975,5.29,52.13,2.386294361
1975,-85.21,12.87,3.397895273
1975,69.35,30.38,1
1975,121.77,12.88,1
1975,-3.75,40.46,4.433987204
1975,80.77,7.87,1
1975,18.64,60.13,2.098612289
1975,-3.44,55.38,6.501258211
1975,-95.71,37.09,4.17805383
1975,10.45,51.17,1
1975,27.85,-13.13,1
1976,-63.62,-38.42,5.804021045
1976,-59.54,13.19,5.290459441
1976,-74.3,4.57,3.302585093
1976,-78.18,-1.83,1
1976,-88.9,13.79,2.098612289
1976,2.21,46.23,2.945910149
1976,21.82,39.07,3.63905733
1976,-90.23,15.78,3.079441542
1976,53.69,32.43,2.609437912
1976,43.68,33.22,3.48490665
1976,-8.24,53.41,2.609437912
1976,34.85,31.05,1
1976,12.57,41.87,3.197224577
1976,138.25,36.2,1.693147181
1976,36.24,30.59,3.197224577
1976,35.86,33.85,2.386294361
1976,-102.55,23.63,4.258096538
1976,18.49,-22.96,2.098612289
1976,8.68,9.08,2.098612289
1976,69.35,30.38,1
1976,-58.44,-23.44,1
